day,x,y,z
115,-3.766065104973448E12,-5.84374926782534E11,1.4750649850250388E7
116,-3.797514534092099E12,-5.892045530325488E11,1.4806863545015737E7
117,-3.8289638968301196E12,-5.94034168977773E11,1.4863077085248772E7
118,-3.860413194273095E12,-5.988637747876587E11,1.491929047363643E7
119,-3.891862427480195E12,-6.036933706275118E11,1.4975503712796858E7
120,-3.9233115974850215E12,-6.085229566586262E11,1.5031716805281732E7
121,-3.9547607052964287E12,-6.133525330384124E11,1.5087929753578484E7
122,-3.9862097518993037E12,-6.181820999205212E11,1.5144142560112428E7
123,-4.0176587382553213E12,-6.230116574549629E11,1.5200355227248808E7
124,-4.0491076653036675E12,-6.278412057882208E11,1.5256567757294765E7
125,-4.0805565339617354E12,-6.326707450633615E11,1.5312780152501207E7
126,-4.112005345125794E12,-6.375002754201398E11,1.5368992415064627E7
127,-4.143454099671632E12,-6.423297969951007E11,1.5425204547128834E7
128,-4.174902798455177E12,-6.471593099216766E11,1.5481416550786613E7
129,-4.2063514423130913E12,-6.519888143302814E11,1.5537628428081332E7
130,-4.2378000320633477E12,-6.568183103484005E11,1.5593840181008477E7
131,-4.269248568505779E12,-6.616477981006785E11,1.5650051811517129E7
132,-4.3006970524226123E12,-6.664772777090023E11,1.5706263321511388E7
133,-4.3321454845789824E12,-6.713067492925825E11,1.576247471285174E7
134,-4.363593865723425E12,-6.761362129680306E11,1.5818685987356372E7
135,-4.395042196588353E12,-6.809656688494343E11,1.5874897146802437E7
136,-4.426490477890519E12,-6.857951170484299E11,1.5931108192927275E7
137,-4.457938710331454E12,-6.90624557674272E11,1.598731912742959E7
138,-4.489386894597902E12,-6.954539908339004E11,1.604352995197058E7
139,-4.520835031362227E12,-7.002834166320057E11,1.6099740668175025E7
140,-4.552283121282812E12,-7.051128351710916E11,1.6155951277632348E7
141,-4.583731165004446E12,-7.09942246551535E11,1.6212161781897621E7
142,-4.615179163158698E12,-7.147716508716454E11,1.6268372182492549E7
143,-4.6466271163642705E12,-7.196010482277202E11,1.6324582480906408E7
144,-4.678075025227351E12,-7.244304387141002E11,1.6380792678596966E7
145,-4.709522890341943E12,-7.292598224232216E11,1.6437002776991352E7
146,-4.740970712290197E12,-7.340891994456671E11,1.6493212777486915E7
147,-4.772418491642717E12,-7.389185698702155E11,1.6549422681452036E7
148,-4.803866228958866E12,-7.437479337838885E11,1.6605632490226928E7
149,-4.8353139247870625E12,-7.485772912719978E11,1.6661842205124397E7
150,-4.86676157966506E12,-7.534066424181886E11,1.6718051827430582E7
151,-4.898209194120223E12,-7.582359873044835E11,1.6774261358405672E7
152,-4.929656768669795E12,-7.630653260113237E11,1.6830470799284596E7
153,-4.961104303821153E12,-7.678946586176097E11,1.688668015127769E7
154,-4.99255180007206E12,-7.727239852007404E11,1.694288941557135E7
155,-5.023999257910901E12,-7.775533058366504E11,1.699909859332865E7
156,-5.055446677816925E12,-7.823826205998477E11,1.7055307685689952E7
157,-5.086894060260463E12,-7.872119295634484E11,1.7111516693773486E7
158,-5.118341405703153E12,-7.920412327992114E11,1.7167725618675925E7
159,-5.149788714598154E12,-7.968705303775721E11,1.722393446147293E7
160,-5.181235987390349E12,-8.016998223676743E11,1.7280143223219674E7
161,-5.212683224516544E12,-8.065291088374017E11,1.7336351904951375E7
162,-5.244130426405669E12,-8.113583898534086E11,1.7392560507683776E7
163,-5.27557759347896E12,-8.161876654811489E11,1.744876903241364E7
164,-5.307024726150145E12,-8.210169357849054E11,1.750497748011921E7
165,-5.338471824825618E12,-8.25846200827817E11,1.7561185851760674E7
166,-5.369918889904617E12,-8.306754606719061E11,1.76173941482806E7
167,-5.401365921779387E12,-8.355047153781046E11,1.7673602370604347E7
168,-5.432812920835341E12,-8.403339650062792E11,1.7729810519640513E7
169,-5.464259887451223E12,-8.451632096152562E11,1.77860185962813E7
170,-5.495706821999256E12,-8.499924492628457E11,1.7842226601402935E7
171,-5.527153724845294E12,-8.548216840058645E11,1.789843453586602E7
172,-5.558600596348964E12,-8.596509139001588E11,1.7954642400515918E7
173,-5.590047436863809E12,-8.644801390006265E11,1.8010850196183108E7
174,-5.621494246737422E12,-8.69309359361238E11,1.806705792368352E7
175,-5.652941026311581E12,-8.741385750350576E11,1.812326558381888E7
176,-5.684387775922377E12,-8.789677860742632E11,1.817947317737703E7
177,-5.71583449590034E12,-8.83796992530166E11,1.8235680705132253E7
178,-5.74728118657056E12,-8.8862619445323E11,1.8291888167845573E7
179,-5.778727848252805E12,-8.9345539189309E11,1.8348095566265058E7
180,-5.81017448126164E12,-8.9828458489857E11,1.840430290112611E7
